Keyword,Sentiment,Ordtyp
analys,0.069,missgynnande ord
analytisk,0.140,missgynnande ord
beslut,0.061,missgynnande ord
chef,0.061,missgynnande ord
driven,0.139,missgynnande ord
drivkraft,0.056,missgynnande ord
individer,0.077,missgynnande ord
kompetent,0.052,missgynnande ord
självständig,0.094,missgynnande ord
stark,-0.097,missgynnande ord
solid,0.446,mer gynnsamma ord
inspiration,0.640,mer gynnsamma ord
test,0.174,mer gynnsamma ord
manager,0.176,mer gynnsamma ord
motivation,0.462,mer gynnsamma ord
förståelse,0.189,mer gynnsamma ord
omdöme,0.103,mer gynnsamma ord
inspirerad,0.175,mer gynnsamma ord
färdigheter,0.123,mer gynnsamma ord
